brigade,unit,activity,week
북극성여단,1대대,부임초기지휘통제기구훈련,5
북극성여단,1대대,혹한기훈련,7
북극성여단,1대대,공용화기집체교육,10
북극성여단,1대대,전투지휘검열,12
북극성여단,1대대,유격훈련,13
북극성여단,1대대,도시지역작전훈련,19
북극성여단,1대대,동원훈련,30
북극성여단,1대대,공용화기집체교육,31
북극성여단,1대대,마일즈훈련,33
북극성여단,1대대,마일즈훈련,35
북극성여단,1대대,전투진지공사,36
북극성여단,2대대,WMD대응훈련,4
북극성여단,2대대,부임초기지휘통제기구훈련,5
북극성여단,2대대,혹한기훈련,7
북극성여단,2대대,공용화기집체교육,10
북극성여단,2대대,전투지휘검열,12
북극성여단,2대대,도시지역작전훈련,18
북극성여단,2대대,동원훈련,27
북극성여단,2대대,공용화기집체교육,31
북극성여단,2대대,마일즈훈련,33
북극성여단,2대대,마일즈훈련,34
북극성여단,2대대,전투진지공사,36
북극성여단,3대대,마일즈훈련,2
북극성여단,3대대,도시지역작전훈련,5
북극성여단,3대대,부임초기지휘통제기구훈련,5
북극성여단,3대대,동원훈련,7
북극성여단,3대대,혹한기훈련,7
북극성여단,3대대,공용화기집체교육,10
북극성여단,3대대,전투지휘검열,12
북극성여단,3대대,공용화기집체교육,31
북극성여단,3대대,마일즈훈련,33
북극성여단,3대대,전투진지공사,36
북극성여단,3대대,유격훈련,48
북극성여단,3대대,동원훈련(재입영),50
북극성여단,4대대,부임초기지휘통제기구훈련,5
북극성여단,4대대,혹한기훈련,7
북극성여단,4대대,공용화기집체교육,10
북극성여단,4대대,전투력측정,10
북극성여단,4대대,전투지휘검열,12
북극성여단,4대대,전투력측정,14
북극성여단,4대대,전술훈련평가,15
북극성여단,4대대,도시지역작전훈련,21
북극성여단,4대대,동원훈련,26
북극성여단,4대대,공용화기집체교육,31
북극성여단,4대대,마일즈훈련,32
북극성여단,4대대,마일즈훈련,33
북극성여단,4대대,전투진지공사,36
북극성여단,4대대,전술훈련평가,43
북극성여단,4대대,유격훈련,47
북극성여단,군수지원대대,부임초기지휘통제기구훈련,5
북극성여단,군수지원대대,혹한기훈련,7
북극성여단,군수지원대대,공용화기집체교육,10
북극성여단,군수지원대대,전투지휘검열,12
북극성여단,군수지원대대,공용화기집체교육,31
북극성여단,군수지원대대,마일즈훈련,33
북극성여단,군수지원대대,전투진지공사,36
북극성여단,군수지원대대,유격훈련,40
북극성여단,본부/직할,부임초기지휘통제기구훈련,5
북극성여단,본부/직할,혹한기훈련,7
북극성여단,본부/직할,공용화기집체교육,10
북극성여단,본부/직할,전투지휘검열,12
북극성여단,본부/직할,동원훈련,28
북극성여단,본부/직할,공용화기집체교육,31
북극성여단,본부/직할,마일즈훈련,33
북극성여단,본부/직할,전투진지공사,36
북극성여단,포병대대,포탄사격훈련,1
북극성여단,포병대대,부임초기지휘통제기구훈련,5
북극성여단,포병대대,혹한기훈련,7
북극성여단,포병대대,포탄사격훈련,9
북극성여단,포병대대,공용화기집체교육,10
북극성여단,포병대대,전투지휘검열,12
북극성여단,포병대대,포탄사격훈련,17
북극성여단,포병대대,동원훈련,25
북극성여단,포병대대,공용화기집체교육,31
북극성여단,포병대대,마일즈훈련,33
북극성여단,포병대대,전투진지공사,36
북극성여단,포병대대,유격훈련,38
북극성여단,포병대대,포탄사격훈련,46
